PhotoID,X,Y,Z,Omega,Phi,Kappa,r11,r12,r13,r21,r22,r23,r31,r32,r33
DSC00829,604407.4241615934297442,3768799.3465270414017141,871.9313077482339622,0.4459847110663553,0.5542558854495109,86.8763851759296841,0.0544878121523670,0.9984881501080298,0.0072451653323251,-0.9984675772905024,0.0544135264672127,0.0100829180814458,0.0096734392272638,-0.0077834588228048,0.9999229182003334
DSC00830,604375.3836910828249529,3768798.3489645160734653,871.8901534803798086,-0.4854606216439518,0.4125993381768215,86.9043340072596635,0.0540018805916452,0.9985016208826620,-0.0088492930374218,-0.9985148673222168,0.0540622671936458,0.0067328301908426,0.0072011547033480,0.0084725651711474,0.9999381775941748
DSC00831,604343.3933667539386079,3768797.4509460991248488,871.8571590960405047,-0.2224522417313820,0.4703553955653471,86.9073542206847947,0.0539488270959204,0.9985343578719664,-0.0043197458483179,-0.9985099567747134,0.0539820641308185,0.0079876763790271,0.0082091581014334,0.0038823834684119,0.9999587675608782
DSC00832,604311.6163103930884972,3768796.4235869734548032,871.8474104261364346,0.0240264682027856,1.1363430450036571,86.6624514457233772,0.0582068242106912,0.9983042742658598,-0.0007359332995179,-0.9981075453928494,0.0582099665420772,0.0198224021004330,0.0198316273958214,-0.0004192584953383,0.9998032460325120
DSC00833,604279.4655024022795260,3768795.5101960818283260,871.8137157940624320,-0.8587164850454724,0.6316392920441372,86.5949567509484979,0.0593906305809297,0.9981126798764556,-0.0156150974713475,-0.9981739453924356,0.0595524921860573,0.0101131307778102,0.0110239620327278,0.0149859582366214,0.9998269316820944
DSC00834,604247.5033257189206779,3768794.4443792738020420,871.8379056244075400,-2.1123788371522481,0.8040090525845304,86.0968133752493827,0.0680640769252896,0.9969673166898172,-0.0377286480623708,-0.9975822674590686,0.0685405413477879,0.0114810209901112,0.0140321446518858,0.0368559851863738,0.9992220650448080
DSC00835,604215.4060488953255117,3768793.6490243193693459,871.8217763825709881,-0.6400311323411874,0.0464112495217651,87.1627444214693696,0.0494991994053479,0.9987114000125680,-0.0111968184394319,-0.9987738348150734,0.0495051646069789,0.0002560586427814,0.0008100290255364,0.0111704145926615,0.9999372808785588
DSC00836,604183.5309494453249499,3768792.7945026271045208,871.8263159394257400,0.2762794154281374,0.5436339233923181,87.1794768623257426,0.0492053203806181,0.9987792150916960,0.0043492467228692,-0.9987436173376461,0.0491612675839934,0.0097137323850978,0.0094880595252669,-0.0048217497187920,0.9999433621241228
DSC00837,604151.6049366089282557,3768791.8383214408531785,871.8423974231609463,-0.3833991664071594,0.6955862274988156,86.8295958134236230,0.0553016829930204,0.9984426182470416,-0.0073526815606246,-0.9983958858817537,0.0553856310060979,0.0117510396325117,0.0121399716856316,0.0066910347517312,0.9999039209551204
DSC00838,604119.7487960677826777,3768790.9240584736689925,871.8750761264585663,-1.1290360278498430,0.0440450904785869,86.7317407085307934,0.0570109400390037,0.9981788599088768,-0.0197158907200359,-0.9983732577384732,0.0570150110377009,-0.0003560183137686,0.0007687317724766,0.0197041149861175,0.9998055595484934
DSC00839,604087.5599352612625808,3768790.0934133566915989,871.8522041647661354,1.2525079199327844,0.5113693890962678,87.2779694173101319,0.0474886351071154,0.9986422940494591,0.0214102328641468,-0.9988319050801496,0.0472843122750827,0.0099508394938277,0.0089249610432039,-0.0218577754656367,0.9997212525109546
DSC00840,604055.3664561044424772,3768789.1537196338176727,871.8396424413878094,0.5192619276243547,0.6762853830283406,86.9150104818582037,0.0538134632932601,0.9985155528380978,0.0084143870135107,-0.9984812453073710,0.0537081887423059,0.0122732730541860,0.0118031325429609,-0.0090620749527374,0.9998892762999934
DSC00841,604023.7072118753567338,3768788.2061780360527337,871.8872449564278213,0.4913255697463222,0.4504153685542928,86.8655628246478813,0.0546772762100696,0.9984709600425022,0.0081324915033223,-0.9984731332307164,0.0546096457127593,0.0083179812192017,0.0078611502137934,-0.0085748788289265,0.9999323345958891
DSC00842,603991.6094096623128280,3768787.3984921504743397,871.8696950992414259,1.7801484756242600,0.7458928767418015,87.1988370313000303,0.0488659020998910,0.9983428684347776,0.0303914569802852,-0.9987205101531852,0.0484425463467399,0.0145142103748459,0.0130179188553765,-0.0310618214028828,0.9994326875982246
DSC00843,603959.4603992067277431,3768786.3700799318030477,871.8538994480408064,2.2211793349693401,0.4701900562603487,87.3125547274739517,0.0468859927021815,0.9981645701627504,0.0383300738343005,-0.9988665380221020,0.0465346407021784,0.0100083182633083,0.0082062724833802,-0.0387558780900533,0.9992150113991470
DSC00844,603927.3975386803504080,3768785.5354570918716490,871.8184391911526063,2.2536675511378168,0.1554791475373718,87.0129047568331231,0.0521108412258429,0.9978744299026416,0.0391290476911080,-0.9986376202080472,0.0519641615195421,0.0047570392871023,0.0027136197123154,-0.0393236323862501,0.9992228421148148
DSC00845,603895.4484118723776191,3768784.5820259749889374,871.8326794163987188,1.3674068730827336,0.6562162950425605,86.9702576607068920,0.0528508729776644,0.9983323024174776,0.0232249687904418,-0.9985367377621596,0.0525663642475026,0.0126949079990017,0.0114528845625462,-0.0238619215407537,0.9996496586982762
DSC00846,603863.7300640610046685,3768783.5874321055598557,871.8171767189222692,1.8880231649932464,0.9773517099947138,87.3963486708375257,0.0454200412879432,0.9984508904333516,0.0321378163889356,-0.9988223428248436,0.0448405990999897,0.0185269572851270,0.0170571780577104,-0.0329414642237013,0.9993117194406890
DSC00847,603831.7799804769456387,3768782.6817758679389954,871.8333028966050051,2.0640161671766601,0.6961568458958147,87.4881836223149065,0.0438221899512110,0.9984102158316264,0.0354493524754004,-0.9989654622988412,0.0433598188551067,0.0137088016586250,0.0121499301209166,-0.0360134284940700,0.9992774450402448
DSC00848,603799.5037714641075581,3768781.6540945190936327,871.8481658502296341,0.6320022401664703,0.4637205850259843,87.0330893446007821,0.0517575257975831,0.9986034598099968,0.0105966305407344,-0.9986268852800706,0.0516669196763430,0.0086529420998256,0.0080933626594328,-0.0110299350253135,0.9999064146279892
DSC00849,603767.6149019583826885,3768780.7577559342607856,871.8554268480046403,1.3423355625194242,0.2592431829690365,87.1749377079332675,0.0492861578961139,0.9985158044182502,0.0231746190219844,-0.9987744501878846,0.0491672714569784,0.0056724835271087,0.0045246316677543,-0.0234257922907759,0.9997153394661008
DSC00850,603735.9483612338081002,3768779.8008513753302395,871.8680970553468796,1.6643894590878978,0.6342865947296573,87.4003585554646776,0.0453539573115513,0.9985639767793094,0.0285132045703970,-0.9989096405778314,0.0450163989401335,0.0123714909016873,0.0110701633614753,-0.0290432109993723,0.9995168549744402
DSC00851,603704.0736745293252170,3768778.6901458143256605,871.9815668718761117,0.5380089161744749,0.0761177641123366,86.9326350251156015,0.0535100018786598,0.9985239557178036,0.0093053509668177,-0.9985664298246998,0.0534952334120131,0.0018289968144716,0.0013285052122308,-0.0093898807161789,0.9999550315959400
DSC00852,603671.6947733003180474,3768777.8421225454658270,872.0023367972505639,1.1390554888252251,0.4940462255201060,86.7476631602841337,0.0567313983682931,0.9982017943456142,0.0193578460675414,-0.9983522418227170,0.0565511638231263,0.0097348404098364,0.0086226264405388,-0.0198782201277307,0.9997652257794430
DSC00853,603639.8237776324385777,3768776.9508159440010786,871.9399952584809625,1.0717100857337505,-0.0894298013393457,87.0522287812954119,0.0514255570514494,0.9985006266141636,0.0187592839167932,-0.9986756109209972,0.0514457788101959,-0.0005966524828439,-0.0015608438490120,-0.0187037561397470,0.9998238511221584
DSC00854,603607.9709734548814595,3768776.0508395694196224,871.9364669459213246,1.1294580613614336,0.3672839561416128,87.0705818066481925,0.0511046701627325,0.9985056700842170,0.0193581894098367,-0.9986727297371608,0.0509696000048869,0.0074080196186380,0.0064102704222671,-0.0197110802598597,0.9997851677976138
DSC00855,603575.7887710249051452,3768775.0694782072678208,871.9390784812059110,1.0095440244112566,0.4723036934955595,87.3202176568598105,0.0467523863425302,0.9987581692377628,0.0172143472751988,-0.9988724967008020,0.0466016403391197,0.0090566247802233,0.0082431611645768,-0.0176183568625363,0.9998108040001764
